spm_person_no,full_name,sex,dob,national_id,passport,mobile,email,updated_at
P9729057992,Salem bin Sultan Al Balushi,M,1983-08-17,NID9143556397,,,,2025-10-22T05:51:25.748954
P0855882015,Amna bint Ahmed Al Nuaimi,F,1977-11-10,NID6023159130,PA09343740,,,2025-10-22T05:51:25.748969
P4868242869,Saeed bin Hamad Al Suwaidi,M,2000-12-24,NID7528380413,,,,2025-10-22T05:51:25.748986
P4645997066,Salem bin Saeed Al Falasi,M,2003-05-18,NID6510332277,,971544269096.0,,2025-10-22T05:51:25.749000
P9867517682,Sara bint Rashid Al Nuaimi,F,1942-05-24,NID8287794208,,,,2025-10-22T05:51:25.749013
P6650671339,Noura bint Sultan Al Mansoori,F,1952-09-25,NID0069008546,,971579709231.0,,2025-10-22T05:51:25.749026
P2750258137,Noura bint Fahad Al Ketbi,F,1957-10-10,NID3643204908,PA51666545,971501562904.0,,2025-10-22T05:51:25.749043
P6891358806,Sultan bin Hamad Al Qasimi,M,2014-09-15,NID4579242776,PA27045914,,,2025-10-22T05:51:25.749059
P2254195489,Mariam bint Salem Al Maktoum,F,1996-04-18,NID0331423741,,971525116789.0,,2025-10-22T05:51:25.749071
P9018480751,Hassan bin Hassan Al Nahyan,M,1985-05-23,NID7099516538,,971592596897.0,,2025-10-22T05:51:25.749088
P2647832140,Maha bint Rashid Al Marri,F,1942-11-04,NID1678173291,,971552403607.0,,2025-10-22T05:51:25.749101
P3643568735,Ahmed bin Saeed Al Ketbi,M,2002-02-09,NID6513508310,,971567826915.0,,2025-10-22T05:51:25.749115
P8935351619,Sara bint Hassan Al Qasimi,F,2019-08-13,NID8394522096,PA80880488,971588111263.0,,2025-10-22T05:51:25.749130
P8250314261,Mohammed bin Mohammed Al Shamsi,M,1948-07-10,NID5510372663,,971507209641.0,,2025-10-22T05:51:25.749147
P4118366747,Hessa bint Ahmed Al Marri,F,1971-09-21,NID9443745895,,,,2025-10-22T05:51:25.749163
P9715460240,Ali bin Hamad Al Balushi,M,1940-09-17,NID1637006496,,,,2025-10-22T05:51:25.749176
P1008892775,Latifa bint Nasser Al Ketbi,F,1977-03-18,,PA39459611,,,2025-10-22T05:51:25.749187
P7820100086,Mohammed bin Ali Al Nahyan,M,1965-11-04,,,971521832534.0,,2025-10-22T05:51:25.749202
P6610245975,Mariam bint Rashid Al Qasimi,F,1952-01-16,NID9278867737,,971526561110.0,,2025-10-22T05:51:25.749219
P7949127441,Fahad bin Mohammed Al Mansoori,M,1985-06-06,NID6019336981,,,,2025-10-22T05:51:25.749232
P0701918060,Maryam bint Ali Al Nuaimi,F,1963-05-14,NID5079380395,,971543932203.0,,2025-10-22T05:51:25.749245
P4904098340,Maryam bint Khalid Al Suwaidi,F,1961-08-09,NID9881233911,,,,2025-10-22T05:51:25.749269
P8703752018,Ahmed bin Hassan Al Maktoum,M,2012-02-05,NID9257749089,,,,2025-10-22T05:51:25.749290
P4227694707,Maha bint Nasser Al Nahyan,F,1960-07-04,,,,,2025-10-22T05:51:25.749311
P1539987957,Mohammed bin Khalid Al Mazrouei,M,2011-12-24,NID2024565342,,971587731602.0,,2025-10-22T05:51:25.749333
P9406638127,Latifa bint Khalid Al Mazrouei,F,2008-02-27,,,971577362196.0,,2025-10-22T05:51:25.749348
P7428413451,Hamad bin Fahad Al Mazrouei,M,2003-07-16,NID9598729803,PA46195197,,,2025-10-22T05:51:25.749365
P5004706894,Fatima bint Hamad Al Nuaimi,F,1966-05-01,NID4029664042,,971505740992.0,,2025-10-22T05:51:25.749378
P4979308381,Latifa bint Sultan Al Falasi,F,1976-01-11,NID0043457769,,,,2025-10-22T05:51:25.749395
P6225139018,Ahmed bin Khalid Al Mazrouei,M,2019-02-05,NID5648301406,PA22725632,,,2025-10-22T05:51:25.749411
P4226617851,Salem bin Fahad Al Mansoori,M,1976-05-14,NID3013987193,PA94720439,,,2025-10-22T05:51:25.749425
P7050921576,Sara bint Ahmed Al Qasimi,F,1980-04-21,,,971583699498.0,,2025-10-22T05:51:25.749443
P1696226541,Fahad bin Ali Al Mansoori,M,1968-11-07,NID2978446509,,971519944868.0,,2025-10-22T05:51:25.749458
P6079092555,Mariam bint Sultan Al Maktoum,F,1963-02-21,NID6539864638,,,,2025-10-22T05:51:25.749469
P4482486014,Saeed bin Rashid Al Mazrouei,M,2011-02-22,NID8109165918,,971521194489.0,,2025-10-22T05:51:25.749488
P1477952228,Maha bint Hamad Al Mazrouei,F,1964-04-06,,,971505077774.0,,2025-10-22T05:51:25.749500
P5434607590,Sara bint Hassan Al Nahyan,F,2020-03-23,NID4843383584,,971533070184.0,,2025-10-22T05:51:25.749515
P6308385004,Mariam bint Salem Al Mazrouei,F,1946-08-19,NID4172152809,PA86215405,,,2025-10-22T05:51:25.749531
P2758192231,Rashid bin Mohammed Al Suwaidi,M,1953-10-05,,,,,2025-10-22T05:51:25.749541
P1238461807,Maryam bint Saeed Al Shamsi,F,1982-06-13,NID3621651251,PA22732696,971538906212.0,,2025-10-22T05:51:25.749557
P8420793264,Rashid bin Khalid Al Maktoum,M,2010-02-01,NID2017197284,PA70178728,971525444025.0,,2025-10-22T05:51:25.749576
P3362925923,Hind bint Sultan Al Mazrouei,F,1948-09-02,,,971525653398.0,,2025-10-22T05:51:25.749587
P5573369318,Ahmed bin Mohammed Al Balushi,M,2002-10-12,NID1636255030,,,,2025-10-22T05:51:25.749599
P4814951245,Aisha bint Ali Al Marri,F,1946-12-06,NID2190142956,PA05452609,971501906533.0,,2025-10-22T05:51:25.749615
P2999246901,Salem bin Khalid Al Suwaidi,M,2012-09-22,,PA93448143,971538384913.0,,2025-10-22T05:51:25.749631
P6612890505,Fatima bint Salem Al Nuaimi,F,1949-12-03,,,,,2025-10-22T05:51:25.749643
P2561734514,Rashid bin Hassan Al Balushi,M,1952-01-13,NID8767776351,,971517577399.0,,2025-10-22T05:51:25.749657
P2314259882,Amna bint Ali Al Shamsi,F,1986-08-26,NID9673437460,,971523279978.0,,2025-10-22T05:51:25.749671
P4732944973,Ali bin Mohammed Al Balushi,M,2008-12-07,NID5231019237,PA71854544,,,2025-10-22T05:51:25.749689
P4390546040,Hind bint Ali Al Nuaimi,F,1975-12-10,NID5962495336,,971592266631.0,,2025-10-22T05:51:25.749709
P7762726786,Hamad bin Saeed Al Shamsi,M,2010-11-18,NID4949521039,PA85129216,,,2025-10-22T05:51:25.749723
P9648533546,Aisha bint Fahad Al Falasi,F,2005-07-27,NID2842409760,,,,2025-10-22T05:51:25.749735
P4229991849,Mohammed bin Rashid Al Marri,M,1983-02-10,NID1144843078,PA67720313,,,2025-10-22T05:51:25.749755
P3425366744,Hind bint Nasser Al Falasi,F,1958-07-13,NID5771213129,PA27674119,,,2025-10-22T05:51:25.749771
P5793970370,Saeed bin Sultan Al Mazrouei,M,2006-06-14,,,,,2025-10-22T05:51:25.749781
P4533994673,Sara bint Hamad Al Qasimi,F,1979-07-04,NID0722821727,PA22723645,971582496349.0,,2025-10-22T05:51:25.749797
P3297107740,Aisha bint Nasser Al Ketbi,F,1990-07-20,NID6980455409,,971581256264.0,,2025-10-22T05:51:25.749811
P0342356784,Maryam bint Nasser Al Qasimi,F,1958-11-08,NID0171226711,PA96411688,971597277258.0,,2025-10-22T05:51:25.749827
P6416891687,Amna bint Hassan Al Falasi,F,2021-03-27,NID5633041785,,,,2025-10-22T05:51:25.749840
P9960824362,Hassan bin Fahad Al Falasi,M,2022-04-12,NID8984293484,,,,2025-10-22T05:51:25.749852
P4304616344,Sara bint Sultan Al Ketbi,F,1984-07-16,NID6311845589,,,,2025-10-22T05:51:25.749864
P4827565144,Hassan bin Hamad Al Nuaimi,M,1969-05-12,NID3469414566,,,,2025-10-22T05:51:25.749879
P5676741836,Noura bint Hassan Al Shamsi,F,2006-04-01,,,971511236356.0,,2025-10-22T05:51:25.749891
P7492718687,Salem bin Mohammed Al Falasi,M,1945-02-16,,PA70321968,,,2025-10-22T05:51:25.749902
P6266199286,Mariam bint Rashid Al Suwaidi,F,1950-02-03,,,971555899930.0,,2025-10-22T05:51:25.750215
P4783982455,Sultan bin Mohammed Al Balushi,M,1956-02-06,NID4822676511,,971539891777.0,,2025-10-22T05:51:25.750273
P8566006130,Sara bint Saeed Al Shamsi,F,1962-04-15,NID8605692094,,,,2025-10-22T05:51:25.750296
P9985565070,Hamad bin Hamad Al Falasi,M,1991-05-14,NID8309668814,,971551312069.0,,2025-10-22T05:51:25.750325
P5881480575,Hessa bint Ali Al Falasi,F,1957-04-09,,,,,2025-10-22T05:51:25.750336
P8696849640,Aisha bint Hamad Al Suwaidi,F,1962-11-09,,,971575465702.0,,2025-10-22T05:51:25.750355
P1602786992,Hassan bin Saeed Al Mazrouei,M,1996-12-09,NID3228573044,,971509356507.0,,2025-10-22T05:51:25.750507
P8009680108,Maha bint Hamad Al Marri,F,1955-02-06,NID9336590433,,971549199714.0,,2025-10-22T05:51:25.750530
P1228774831,Fatima bint Saeed Al Balushi,F,2004-02-21,NID5790822643,,971541074909.0,,2025-10-22T05:51:25.750566
P1549433310,Saeed bin Saeed Al Suwaidi,M,1963-01-04,NID0787163213,,,,2025-10-22T05:51:25.750663
P3470394084,Maha bint Salem Al Nahyan,F,1944-07-06,NID4353549879,,,,2025-10-22T05:51:25.750682
P4494394689,Saeed bin Hamad Al Qasimi,M,2004-02-20,NID3291517260,PA76509743,971556433750.0,,2025-10-22T05:51:25.750706
P5738755016,Fatima bint Fahad Al Qasimi,F,1956-06-13,NID9802879772,PA29621757,971567608818.0,,2025-10-22T05:51:25.750724
P9611105217,Aisha bint Rashid Al Marri,F,1983-09-08,NID3358253600,,971554952481.0,,2025-10-22T05:51:25.750741
P4978453380,Mohammed bin Hassan Al Maktoum,M,1998-12-25,NID7296758892,PA21430646,971591084972.0,,2025-10-22T05:51:25.750759
P9688411359,Reem bint Hamad Al Suwaidi,F,1983-09-14,NID8873049706,,971562518859.0,,2025-10-22T05:51:25.750777
P6687349864,Hessa bint Sultan Al Suwaidi,F,1944-10-14,NID7235282390,,971538796187.0,,2025-10-22T05:51:25.750793
P7708078334,Hamad bin Hassan Al Mazrouei,M,1951-05-21,NID8722678517,,971509196468.0,,2025-10-22T05:51:25.750808
P1033862890,Maryam bint Fahad Al Marri,F,1966-08-18,NID6284193475,PA95301239,,,2025-10-22T05:51:25.750822
P8425583344,Khalid bin Sultan Al Marri,M,2015-08-02,NID8257894629,,971519036252.0,,2025-10-22T05:51:25.750840
P0365164438,Latifa bint Ahmed Al Mazrouei,F,2008-08-28,NID2858957251,PA23282002,971508372299.0,,2025-10-22T05:51:25.750857
P1811787180,Hassan bin Salem Al Falasi,M,1982-11-15,NID4171002364,,971505881603.0,,2025-10-22T05:51:25.750871
P6559006922,Maryam bint Ahmed Al Maktoum,F,1964-05-14,NID7007492487,,,,2025-10-22T05:51:25.750883
P4553346792,Salem bin Ali Al Mazrouei,M,1942-08-12,NID2642970028,PA18207480,,,2025-10-22T05:51:25.750903
P0149331456,Aisha bint Salem Al Nahyan,F,1979-07-17,NID0350664560,,971562628826.0,,2025-10-22T05:51:25.750924
P3137451676,Ahmed bin Fahad Al Marri,M,2006-08-08,NID7062050057,,971569616545.0,,2025-10-22T05:51:25.750939
P1840169987,Sara bint Nasser Al Mansoori,F,1984-11-22,,,,,2025-10-22T05:51:25.750948
P4317942223,Ali bin Ahmed Al Suwaidi,M,1999-06-12,NID2321734848,,,,2025-10-22T05:51:25.750966
P8708269141,Noura bint Mohammed Al Nuaimi,F,1946-04-14,NID2998638951,,,,2025-10-22T05:51:25.750983
P3128390342,Hessa bint Mohammed Al Marri,F,1992-08-25,NID3235971013,,,,2025-10-22T05:51:25.750995
P6095974351,Ahmed bin Mohammed Al Marri,M,1950-09-17,NID2728030003,PA48981673,971511724075.0,,2025-10-22T05:51:25.751012
P5816808954,Mariam bint Khalid Al Nuaimi,F,1943-05-18,NID5737197298,,971576206395.0,,2025-10-22T05:51:25.751025
P5042347662,Sara bint Nasser Al Maktoum,F,1940-05-10,NID6859505719,,971521228582.0,,2025-10-22T05:51:25.751044
P4236042389,Amna bint Rashid Al Suwaidi,F,1982-12-16,NID1161785763,,,,2025-10-22T05:51:25.751057
P1919660566,Latifa bint Khalid Al Maktoum,F,2004-07-12,NID2751024553,,,,2025-10-22T05:51:25.751070
P0677457515,Hessa bint Mohammed Al Falasi,F,2017-09-21,NID6411090919,,,,2025-10-22T05:51:25.751083
P8645807279,Saeed bin Khalid Al Ketbi,M,2007-06-27,NID1085958845,,,,2025-10-22T05:51:25.751098
P7795991800,Maryam bint Ali Al Balushi,F,1957-01-22,NID1510360776,,971554675718.0,,2025-10-22T05:51:25.751120
